x,x,Name,Cartridge,Capacity,Damage,Fire Modes,RPM,Dispersion,Initial Speed,Typical Speed,weaponInitialSpeed,Air Resistance,Penetration,Damage at 100m,Damage at 200m,Damage at 300m,Damage at 400m,Damage at 500m,Damage at 1000m,Damage at 1500m,Damage at 2000m,Unlock LevelWeapon Class,Magazine Class,Caliber
X,X,AK-103,57-N-231(89),30,"=""8.500""",Single\Fullauto,"=""600.00""","=""0.0011636""","=""718""","=""718""","=""0""","=""-0.0016519""","=""10.00|53.33|166.67""","=""7.206""","=""6.109""","=""5.178""","=""4.390""",3.721,1.629,0.713,0.312,X,rhs_weap_ak103,rhs_30rnd_762x39mm_polymer_89 = 30rnd AK-103 57-N-231(89),0.928505
X,X,AK-74,7N6,30,"=""9.000""",Single\Fullauto,"=""650.05""","=""0.0009300""","=""915""","=""915""","=""0""","=""-0.0016564""","=""2.97|15.83|49.46""","=""7.626""","=""6.462""","=""5.476""","=""4.640""",3.932,1.717,0.750,0.328,X,rhs_weap_ak74,rhs_30rnd_545x39_7n6_ak = 30rnd AK-74 (Bakelite) 7N6,0.216216
X,X,6P53,7N29,18,"=""10.394""",Single,"=""060.00""","=""0.0200000""","=""450""","=""410""","=""450""","=""-0.00176715""","=""7.38|39.36|123.00""","=""8.710""","=""7.299""","=""6.117""","=""5.126""",4.296,1.775,0.734,0.303,X,rhs_weap_6p53,rhs_18rnd_9x21mm_7n29 = 18rnd SR-1 7N29,1.2
X,X,6P9,9mm,8,"=""8.388""",Single,"=""060.00""","=""0.0200000""","=""450""","=""272""","=""450""","=""-0.00176715""","=""3.42|18.23|56.98""","=""7.029""","=""5.891""","=""4.936""","=""4.137""",3.467,1.433,0.592,0.245,X,rhs_weap_pb_6p9,rhs_mag_9x18_8_57n181s = 8rnd PM 57-N-181S,0.838
X,X,MP-443,9mm,17,"=""6.833""",Single,"=""060.00""","=""0.0200000""","=""450""","=""393.192""","=""450""","=""-0.00176715""","=""4.94|26.36|82.37""","=""5.726""","=""4.798""","=""4.021""","=""3.370""",2.824,1.167,0.482,0.199,X,rhs_weap_pya,rhs_mag_9x19_17 = 17Rnd. 9x19 Parabellum (MP-443),0.838
X,X,PM,9mm,8,"=""8.388""",Single,"=""060.00""","=""0.0200000""","=""450""","=""272""","=""450""","=""-0.00176715""","=""3.42|18.23|56.98""","=""7.029""","=""5.891""","=""4.936""","=""4.137""",3.467,1.433,0.592,0.245,X,rhs_weap_makarov_pm,rhs_mag_9x18_8_57n181s = 8rnd PM 57-N-181S,0.838
X,X,PP-2000 (Folded),9mm,20,"=""6.833""",Single\Fullauto,"=""800.00""","=""0.0020300""","=""449.9996""","=""393.192""","=""-0.97826""","=""-0.00176715""","=""4.94|26.36|82.37""","=""5.726""","=""4.798""","=""4.021""","=""3.370""",2.824,1.167,0.482,0.199,X,rhs_weap_pp2000_folded,rhs_mag_9x19mm_7n21_20 = 20rnd PP-2000 7N21,0.838
X,X,TT-33,9mm,8,"=""5.705""",Single,"=""060.00""","=""0.0200000""","=""450""","=""390.1""","=""450""","=""-0.0027667""","=""4.53|24.15|75.48""","=""4.326""","=""3.281""","=""2.488""","=""1.886""",1.431,0.359,0.090,0.023,X,rhs_weap_tt33,rhs_mag_762x25_8 = 8Rnd TT-33 7.62x25mm,0.774
X,X,AK-74M,7N10,30,"=""9.500""",Single\Fullauto,"=""650.05""","=""0.0009300""","=""880""","=""880""","=""0""","=""-0.001139""","=""8.16|43.53|136.04""","=""8.477""","=""7.565""","=""6.750""","=""6.024""",5.375,3.041,1.721,0.974,X,rhs_weap_ak74m,rhs_30rnd_545x39_7n10_ak = 30rnd AK-74 7N10,0.618357
X,X,AK-74MR (UUK),7N22 - AP,30,"=""9.800""",Single\Fullauto,"=""650.05""","=""0.0009300""","=""890""","=""890""","=""0""","=""-0.00085""","=""12.55|66.91|209.10""","=""9.001""","=""8.268""","=""7.594""","=""6.975""",6.407,4.189,2.738,1.790,X,rhs_weap_ak74mr,rhs_30rnd_545x39_7n22_ak = 30rnd AK-74 7N22,0.939794
