x,x,Name,Cartridge,Capacity,Damage,Fire Modes,RPM,Dispersion,Initial Speed,Typical Speed,weaponInitialSpeed,Air Resistance,Penetration,Damage at 100m,Damage at 200m,Damage at 300m,Damage at 400m,Damage at 500m,Damage at 1000m,Damage at 1500m,Damage at 2000m,Unlock LevelWeapon Class,Magazine Class,Caliber
X,X,HK G36KV,5.56mm EPR,30,"=""8.625""",Single\Burst2Rnd,"=""750.00""","=""0.0005556""","=""920""","=""960""","=""0""","=""-0.000772""","=""9.36|49.92|156.00""","=""7.984""","=""7.391""","=""6.842""","=""6.334""",5.863,3.986,2.709,1.842,X,rhs_weap_g36kv,rhssaf_30rnd_556x45_epr_g36 = 30rnd G36 M855A1,0.65
X,X,HK416 D14.5,Mk318,30,"=""8.980""",Single\Fullauto,"=""800.00""","=""0.0009309""","=""893.34404""","=""950""","=""-0.94""","=""-0.00076""","=""9.12|48.64|152.00""","=""8.323""","=""7.714""","=""7.150""","=""6.626""",6.141,4.200,2.872,1.964,X,rhs_weap_hk416d145,rhs_mag_30rnd_556x45_mk318_stanag = 30rnd STANAG Mk318 Mod 0,0.64
X,X,Karabiner 98 Kurz,7.62,5,"=""11.977""",Single,"=""037.50""","=""0.0004364""","=""869""","=""838""","=""0""","=""-0.0006814""","=""5.66|30.17|94.28""","=""11.188""","=""10.451""","=""9.763""","=""9.120""",8.519,6.059,4.310,3.065,X,rhs_weap_kar98k,rhsgref_5rnd_792x57_kar98k = 5rnd 7.92x57mm clip,0.45
X,X,L1A1 (Polymer),M80 Ball,20,"=""11.633""",Single,"=""675.00""","=""0.0011636""","=""844""","=""838""","=""0""","=""-0.0006814""","=""5.66|30.17|94.28""","=""10.866""","=""10.151""","=""9.482""","=""8.857""",8.274,5.885,4.186,2.977,X,rhs_weap_l1a1_base,rhs_mag_20rnd_762x51_m80_fnfal = 20rnd FN FAL M80,0.45
X,X,M107,M33 Ball,10,"=""25.754""",Single,"=""150.00""","=""0.0003500""","=""853""","=""838.2""","=""0""","=""-0.000617""","=""12.89|68.75|214.86""","=""24.213""","=""22.765""","=""21.402""","=""20.122""",18.918,13.896,10.207,7.498,X,rhs_weap_m107,rhsusf_mag_10rnd_std_50bmg_m33 = 10rnd M107 M33,1.02533
X,X,M107,Mk 211 HEIAP,10,"=""25.247""",Single,"=""150.00""","=""0.0003500""","=""853""","=""838.2""","=""0""","=""-0.000617""","=""25.87|137.98|431.17""","=""23.736""","=""22.316""","=""20.980""","=""19.725""",18.545,13.622,10.006,7.350,X,rhs_weap_m107,rhsusf_mag_10rnd_std_50bmg_mk211 = 10rnd M107 Mk211,2.05761
X,X,M14 EBR-RI,M118 Ball,20,"=""11.550""",Single,"=""725.00""","=""0.0005800""","=""805""","=""805""","=""0""","=""-0.0007474""","=""6.28|33.49|104.65""","=""10.718""","=""9.946""","=""9.230""","=""8.565""",7.949,5.470,3.764,2.591,X,rhs_weap_m14ebrri,rhsusf_20rnd_762x51_m118_special_mag = 20rnd M14 M118,0.52
X,X,M16A4,M855,30,"=""9.000""",Single\Burst,"=""800.00""","=""0.0009309""","=""948.842""","=""948.842""","=""-1""","=""-0.00076""","=""6.26|33.40|104.37""","=""8.341""","=""7.731""","=""7.165""","=""6.641""",6.155,4.209,2.878,1.968,X,rhs_weap_m16a4,rhs_mag_30rnd_556x45_m855_stanag = 30rnd STANAG M855,0.44
X,X,M1 Garand,M2 Ball,8,"=""12.634""",Single,"=""600.00""","=""0.0004500""","=""770""","=""838""","=""0""","=""-0.0006814""","=""5.66|30.17|94.28""","=""11.802""","=""11.025""","=""10.298""","=""9.620""",8.986,6.392,4.546,3.234,X,rhs_weap_m1garand_sa43,rhsgref_8rnd_762x63_m2b_m1rifle = 8Rnd .30-06 M2,0.45
X,X,M21A,M855,30,"=""8.774""",Single\Fullauto,"=""600.00""","=""0.0021000""","=""925""","=""948.842""","=""0""","=""-0.00076""","=""6.26|33.40|104.37""","=""8.132""","=""7.537""","=""6.985""","=""6.474""",6.000,4.103,2.806,1.919,X,rhs_weap_m21a,rhsgref_30rnd_556x45_m21 = 30rnd M21 M855,0.44
X,X,M240G,M80 Ball,100,"=""11.550""",Fullauto,"=""750.00""","=""0.0008000""","=""838""","=""838""","=""0""","=""-0.0006814""","=""5.66|30.17|94.28""","=""10.789""","=""10.079""","=""9.415""","=""8.794""",8.215,5.843,4.156,2.956,X,rhs_weap_m240g,rhsusf_100rnd_762x51 = 100rnd M240 Box M80,0.45
X,X,M249 PIP,M855A1 EPR,200,"=""9.000""",Fullauto,"=""800.00""","=""0.0002618""","=""960""","=""960""","=""-1""","=""-0.000772""","=""9.36|49.92|156.00""","=""8.331""","=""7.712""","=""7.139""","=""6.609""",6.118,4.159,2.827,1.922,X,rhs_weap_m249_pip,rhs_200rnd_556x45_b_saw = 200rnd M249 Box M855A1,0.65
X,X,M249,M855A1 EPR,200,"=""9.000""",Fullauto,"=""800.00""","=""0.0002618""","=""960""","=""960""","=""-1""","=""-0.000772""","=""9.36|49.92|156.00""","=""8.331""","=""7.712""","=""7.139""","=""6.609""",6.118,4.159,2.827,1.922,X,rhs_weap_m249,rhs_200rnd_556x45_b_saw = 200rnd M249 Box M855A1,0.65
X,X,M24 SWS,M993 AP,5,"=""11.550""",Single,"=""037.50""","=""0.0002909""","=""910""","=""910""","=""0""","=""-0.0006814""","=""19.27|102.78|321.18""","=""10.789""","=""10.079""","=""9.415""","=""8.794""",8.215,5.843,4.156,2.956,X,rhs_weap_m24sws,rhsusf_5rnd_762x51_m993_mag = 5rnd M993 AP,1.41176
X,X,M27 IAR,Mk318,30,"=""9.267""",Single\Fullauto,"=""800.00""","=""0.0009309""","=""921.85502""","=""950""","=""-0.97""","=""-0.00076""","=""9.12|48.64|152.00""","=""8.589""","=""7.960""","=""7.378""","=""6.838""",6.337,4.334,2.964,2.027,X,rhs_weap_m27iar,rhs_mag_30rnd_556x45_mk318_stanag = 30rnd STANAG Mk318 Mod 0,0.64
X,X,M3A1 (SD),9mm,30,"=""5.147""",Fullauto,"=""400.00""","=""0.0002900""","=""280""","=""280""","=""280""","=""-0.0018""","=""11.26|60.05|187.67""","=""4.299""","=""3.591""","=""2.999""","=""2.505""",2.093,0.851,0.346,0.141,X,rhs_weap_m3a1_specops,rhsgref_30rnd_1143x23_m1911b_smg = 30Rnd .45ACP M1911,2.68097
X,X,M40A5,M993 AP,10,"=""11.550""",Single,"=""037.50""","=""0.0002909""","=""910""","=""910""","=""0""","=""-0.0006814""","=""19.27|102.78|321.18""","=""10.789""","=""10.079""","=""9.415""","=""8.794""",8.215,5.843,4.156,2.956,X,rhs_weap_m40a5,rhsusf_10rnd_762x51_m993_mag = 10rnd AICS M993 AP,1.41176
X,X,M4A1 Block II,Mk262,30,"=""9.682""",Single\Fullauto,"=""800.00""","=""0.0009309""","=""787.908""","=""838.2""","=""-0.94""","=""-0.00066""","=""8.51|45.40|141.87""","=""9.064""","=""8.485""","=""7.943""","=""7.436""",6.961,5.004,3.598,2.586,X,rhs_weap_m4a1_blockii,rhs_mag_30rnd_556x45_mk262_stanag = 30rnd STANAG Mk262 Mod 1,0.677
X,X,M4A1 PIP,M855,30,"=""8.460""",Single\Fullauto,"=""800.00""","=""0.0009309""","=""891.91148""","=""948.842""","=""-0.94""","=""-0.00076""","=""6.26|33.40|104.37""","=""7.841""","=""7.267""","=""6.735""","=""6.242""",5.785,3.956,2.706,1.850,X,rhs_weap_m4a1,rhs_mag_30rnd_556x45_m855_stanag = 30rnd STANAG M855,0.44
X,X,M590A1 (Short),Buckshot,1,"=""35.19 (9*3.91)""",Single,"=""120""","=""0.945""","=""331.8""","=""403.86""","=""0""","=""-0.00634""","=""0.15|00.78|02.42""","=""1.704""","=""0.904""","=""0.480""","=""0.254""",0.135,0.006,0.000,0.000,X,rhs_weap_M590_5RD,rhs_ammo_12g_00buckshot = 1Rnd 00 Buckshot,0.24
X,X,M590A1 (Short),Slug,5,"=""28.668""",Single,"=""400.00""","=""0.0002900""","=""395""","=""475.49""","=""0""","=""-0.002042""","=""2.17|11.59|36.23""","=""23.373""","=""19.056""","=""15.536""","=""12.667""",10.327,3.720,1.340,0.483,X,rhs_weap_m590_5rd,rhsusf_5rnd_slug = 5Rnd 12g Slug,0.3048
X,X,MG42,7.62,50,"=""10.613""",Fullauto,"=""1200.00""","=""0.0008000""","=""770""","=""838""","=""0""","=""-0.0006814""","=""5.66|30.17|94.28""","=""9.914""","=""9.261""","=""8.651""","=""8.081""",7.549,5.369,3.819,2.716,X,rhs_weap_mg42,rhsgref_50rnd_792x57_sme_drum = 50Rnd 7.92x57 Drum S.m.E.,0.45
X,X,Mk 18 Mod 1,Mk262,30,"=""9.248""",Single\Fullauto,"=""800.00""","=""0.0009309""","=""752.6197800000001""","=""838.2""","=""-0.8979""","=""-0.00066""","=""8.51|45.40|141.87""","=""8.658""","=""8.105""","=""7.587""","=""7.103""",6.649,4.780,3.436,2.471,X,rhs_weap_mk18,rhs_mag_30rnd_556x45_mk262_stanag = 30rnd STANAG Mk262 Mod 1,0.677
