Name,Cartridge,Capacity,Damage,Indirect Damage,Indirect Range,Submunition Damage,Submunition Indirect Damage,Submunition Indirect Range,Sub-Submunition,Submunition Cone,Warhead,Fire Modes,reloadTime,Dispersion,Initial Speed,Typical Speed,weaponInitialSpeed,Air Resistance,Side Air Reistance,Control Range,RHS Guide Mode,Penetration,Submunition Penetration,Thrust,Thrust Time,Max speed,Manoeuvrability,Track Oversteer,Track Lead,Control Offset,Control Cone,Flight Profiles,Weapon Class,Magazine Class,Caliber,Submunition Caliber
DShKM,12.7x108mm,50,25,0,0,,,,,,,manual,0.1,0.002,817,820,0,-0.00086,1,350,,34.44|183.68|574.00,,210,1.5,0,1,1,1,,,,rhs_weap_dshkm,rhs_mag_127x108mm_50,2.8,
AGS-30,VOG30,30,40,7,4.174,[80],[8],[6],,,HE,manual,0.15,0.005,185,185,0,-0.001,1,350,,5.55|29.60|92.50,['5.55|29.60|92.50'],210,1.5,0,1,1,1,,,,rhs_weap_ags30,rhs_mag_vog30_30,2,[2]
SPG-9,OG9V,1,85,45,6,,,,,,HE,,,,316,700,0,0.074,0.5,0,,10.50|56.00|175.00,,0,0,700,0,1,1,,,,rhs_weap_spg9,rhs_mag_og9v,1,
SPG-9,PG9V,1,205,20,4.2,[220],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HEAT,,,,435,700,0,0.45,0.01,0,,10.50|56.00|175.00,['270.00|1440.00|4500.00'],1400,0.35,700,0,1,1,,,,rhs_weap_spg9,rhs_mag_pg9v,1,[20]
KPVT,14.5x115mm,50,25,0,0,,,,,,,manual,0.1,0.0007,988,988,0,-0.00052,1,350,,41.00|218.67|683.33,,210,1.5,0,1,1,1,,,,rhs_weap_kpvt,rhs_mag_145x115mm_50,2.76653,
PKT,7.62x54mm,250,11.47,0,0,,,,,,,manual,0.075,0.00125,855,828,0,-0.0010922,1,350,,4.24|22.60|70.62,,210,1.5,0,1,1,1,,,,rhs_weap_pkt_btr,rhs_mag_762x54mm_250,0.341151,
9M111,9M113,5,240,20,4.2,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,,,,80,900,0,-2e-05,0.05,4000,WIRE,13.50|72.00|225.00,['540.00|2880.00|9000.00'],200,1.5,200,14,0.6,0.6,,60,['Direct'],rhs_weap_9p148,rhs_mag_9m113_5,1,[40]
2A14,,100,60,40,1.8,,,,,,HE,manual,0.03,0.005,980,960,0,-0.000471,1,350,,15.98|85.25|266.40,,210,1.5,0,1,1,1,,,,rhs_weap_2a14,rhs_mag_azp23_100,1.11,
S8,S-8 KOM,12,400,60,15,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 5]",HE,ai_burst\burst,0.2\0.08,0.032\0.032,44,900,0,0.09,0.003,0,,13.50|72.00|225.00,['360.00|1920.00|6000.01'],1060,0.69,590,0,1,1,,,,rhs_weap_s8,rhs_mag_s8_12,1,[26.6667]
2A28,PG15V,20,205,20,4.2,[230],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HEAT,player\topdown,6\6,0.00025*15\0.00057,690,350,0,-0.00084,1,350,,178.50|952.00|2975.00,['360.00|1920.00|6000.01'],210,1.5,0,1,1,1,,,,rhs_weap_2a28,rhs_mag_pg15v_20,34,[26.6667]
2A28,OG15V,20,85,45,5,,,,,,HE,player\topdown,6\6,0.00025*15\0.00057,290,350,0,-0.00011934,1,350,,178.50|952.00|2975.00,,210,1.5,0,1,1,1,,,,rhs_weap_2a28,rhs_mag_og15v_20,34,
PKT,7.62x54mm,250,11.47,0,0,,,,,,,manual,0.075,0.00125,855,828,0,-0.0010922,1,350,,4.24|22.60|70.62,,210,1.5,0,1,1,1,,,,rhs_weap_pkt,rhs_mag_762x54mm_250,0.341151,
9K11,9M14M,1,240,20,4.2,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,,,,80,115,0,-2e-05,0.14,3000,,1.72|09.20|28.75,['360.00|1920.00|6000.01'],100,2.5,115,4,0.3,0.85,,30,['Direct'],rhs_weap_9k11,rhs_mag_9m14m,1,[26.6667]
9M113,9M113M,1,240,20,4.2,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,,,,80,900,0,-2e-05,0.05,4000,WIRE,13.50|72.00|225.00,['675.00|3600.00|11250.00'],200,1.5,200,14,0.6,0.6,,60,['Direct'],rhs_weap_9m113,rhs_mag_9m113m,1,[50]
2A42,3UOF8,340,50,33,4,,,,,,HE,lowrofbmd2\highrofbmd2\closebmd2\shortbmd2\mediumbmd2\farbmd2,0.2\0.1\0.1\0.1\0.2\0.2,0.0009375\0.00325\0.00325\0.00325\0.0009375\0.0009375,960,960,0,-0.0002,1,350,,20.02|106.75|333.60,,210,1.5,0,1,1,1,,,,rhs_weap_2a42,rhs_mag_3uof8_340,1.39,
2A42,3UBR8,160,90,0,0,,,,,,AP,lowrofbmd2\highrofbmd2\closebmd2\shortbmd2\mediumbmd2\farbmd2,0.2\0.1\0.1\0.1\0.2\0.2,0.0009375\0.00325\0.00325\0.00325\0.0009375\0.0009375,1120,1120,0,-0.00056,1,350,,66.00|352.00|1100.00,,210,1.5,0,1,1,1,,,,rhs_weap_2a42,rhs_mag_3ubr8_160,3.92857,
AZP-23,,2000,0,0,8,"[80, 60]","[1, 40]","[0.3, 1.8]",,,,manual,0.024,0.005,980,900,0,-0.000471,1,350,,13.50|72.00|225.00,"['61.46|327.81|1024.39', '15.98|85.25|266.40']",210,1.5,0,1,1,1,,,,rhs_weap_azp23,rhs_mag_azp23_2000_mixed,1,"[3.65854, 1.11]"
2A75,3BM46,10,250,40,0.5,[300],[11],[0.35],rhs_ammo_spall,"['randomcenter', 30]",AP,player,7.5,0.00025*2.6,1700,1700,0,-3.96e-05,1,350,,2.55|13.60|42.50,['0.00|00.00|00.00'],210,1.5,0,1,1,1,,,,rhs_weap_2a75,rhs_mag_3bm46_10,0.1,[26.7059]
2A75,3BK29,8,230,20,3.6,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",TandemHEAT,player,7.5,0.00025*2.6,905,915,0,-3.96e-05,1,350,,6.86|36.60|114.38,['720.00|3840.00|11999.99'],210,1.5,0,1,1,1,,,,rhs_weap_2a75,rhs_mag_3bk29_8,0.5,[53.3333]
2A75,3OF26,6,200,100,15,,,,,,HE,player,7.5,0.00025*2.6,850,850,0,-0.0002,1,350,,63.75|340.00|1062.50,,210,1.5,0,1,1,1,,,,rhs_weap_2a75,rhs_mag_3of26_6,5,
2A75,9M119,6,240,20,4.2,[250],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,player,7.5,0.00025*2.6,125,120,0,0.085,0.1,5000,BEAMRIDER,1.80|09.60|30.00,['630.00|3360.00|10500.01'],112,6,420,9,0.3,0.3,,50,['Direct'],rhs_weap_2a75,rhs_mag_9m119_6,1,[46.6667]
2A42,3UOF8,180,50,33,4,,,,,,HE,lowrofbmd2\highrofbmd2\closebmd2\shortbmd2\mediumbmd2\farbmd2,0.2\0.1\0.1\0.1\0.2\0.2,0.0009375\0.00325\0.00325\0.00325\0.0009375\0.0009375,960,960,0,-0.0002,1,350,,20.02|106.75|333.60,,210,1.5,0,1,1,1,,,,rhs_weap_2a42,rhs_mag_3uof8_180,1.39,
2A42,3UBR8,120,90,0,0,,,,,,AP,lowrofbmd2\highrofbmd2\closebmd2\shortbmd2\mediumbmd2\farbmd2,0.2\0.1\0.1\0.1\0.2\0.2,0.0009375\0.00325\0.00325\0.00325\0.0009375\0.0009375,1120,1120,0,-0.00056,1,350,,66.00|352.00|1100.00,,210,1.5,0,1,1,1,,,,rhs_weap_2a42,rhs_mag_3ubr8_120,3.92857,
9K133,9M133,2,240,18,4.5,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,,,,100,120,0,0.13,0.1,5000,BEAMRIDER,1.80|09.60|30.00,['900.00|4800.00|15000.01'],152,3,300,9,0.3,1,,20,['Direct'],rhs_weap_9k133,rhs_mag_9m133_2,1,[66.6667]
2A70,3UOF17,22,210,50,12,,,,,,HE,player,5.5,0.00275,250,250,0,-1e-05,1,350,,22.50|120.00|375.00,,210,1.5,0,1,1,1,,,,rhs_weap_2a70,rhs_mag_3uof17_22,6,
2A70,9M117,8,240,20,4.2,[290],[0],[0],rhs_ammo_spall,"['randomcenter', 30]",HE,player,5.5,0.00275,80,300,0,0.1,0.1,4000,BEAMRIDER,4.50|24.00|75.00,['540.00|2880.00|9000.00'],122,6,380,17,0.3,1,,20,['Direct'],rhs_weap_2a70,rhs_mag_9m117_8,1,[40]
2A72,3UOF8,305,50,33,4,,,,,,HE,lowrofbmd2\highrofbmd2\closebmd2\shortbmd2\mediumbmd2\farbmd2,0.2\0.181818\0.181818\0.181818\0.2\0.2,0.000714286\0.000714286\0.000714286\0.000714286\0.000714286\0.000714286,960,960,0,-0.0002,1,350,,20.02|106.75|333.60,,210,1.5,0,1,1,1,,,,rhs_weap_2a72,rhs_mag_3uof8_305,1.39,
2A72,3UBR6,195,60,0,0,,,,,,AP,lowrofbmd2\highrofbmd2\closebmd2\shortbmd2\mediumbmd2\farbmd2,0.2\0.181818\0.181818\0.181818\0.2\0.2,0.000714286\0.000714286\0.000714286\0.000714286\0.000714286\0.000714286,1120,1120,0,-0.00056,1,350,,63.51|338.69|1058.42,,210,1.5,0,1,1,1,,,,rhs_weap_2a72,rhs_mag_3ubr6_195,3.78007,
