Name,Cartridge,Capacity,Damage,Indirect Damage,Indirect Range,Submunition Damage,Submunition Indirect Damage,Submunition Indirect Range,Submunition,Sub-Submunition,Submunition Cone,Warhead,Submunition Warhead,Fire Modes,RPM,Dispersion,Time To Live,Initial Speed,Typical Speed,weaponInitialSpeed,Air Resistance,Side Air Resistance,Control Range,RHS Guide Mode,RHS Saclos,RHS Ballistic Mode,RHA Penetration (mm),Concrete Penetration (mm),Meat Penetration (mm),Submunition RHA Penetration (mm),Submunition Concrete Penetration (mm),Submunition Meat Penetration (mm),Thrust,Thrust Time,Max speed,Manoeuvrability,Track Oversteer,Track Lead,Control Cone,Flight Profiles,Damage at 100m,Damage at 500m,Damage at 1000m,Damage at 1500m,Damage at 2000m,Damage at 3000m,Damage at 4000m,Damage at 5000m,Weapon Class,Magazine Class,Caliber,Submunition Caliber,Sub-submunition Caliber
M2 CSAMM,M2 Ball,100,30.000,0,0,[],[],[],[],[],,,,manual,0600.0,0.0014400,10,880,880,0,-0.00086000,1,350,,0,0,31.00,165.33,516.67,0,0,0,210,1.5,0,1,1,1,0,[],27.528,19.515,12.695,8.258,5.372,2.273,0.962,0.407,rhs_m2_abrams_gunner,rhs_mag_100rnd_127x99_mag,2.34848,[],[]
M2 CSAMM,M2 Ball,100,30.000,0,0,[],[],[],[],[],,,,manual,0600.0,0.0014400,10,880,880,0,-0.00086000,1,350,,0,0,31.00,165.33,516.67,0,0,0,210,1.5,0,1,1,1,0,[],27.528,19.515,12.695,8.258,5.372,2.273,0.962,0.407,rhs_m2_abrams_gunner,rhs_mag_100rnd_127x99_mag_tracer_red,2.34848,[],[]
M2 CSAMM,M2 Ball,100,30.000,0,0,[],[],[],[],[],,,,manual,0600.0,0.0014400,10,880,880,0,-0.00086000,1,350,,0,0,31.00,165.33,516.67,0,0,0,210,1.5,0,1,1,1,0,[],27.528,19.515,12.695,8.258,5.372,2.273,0.962,0.407,rhs_m2_abrams_gunner,rhs_mag_100rnd_127x99_mag_tracer_green,2.34848,[],[]
M2 CSAMM,M2 Ball,100,30.000,0,0,[],[],[],[],[],,,,manual,0600.0,0.0014400,10,880,880,0,-0.00086000,1,350,,0,0,31.00,165.33,516.67,0,0,0,210,1.5,0,1,1,1,0,[],27.528,19.515,12.695,8.258,5.372,2.273,0.962,0.407,rhs_m2_abrams_gunner,rhs_mag_100rnd_127x99_mag_tracer_yellow,2.34848,[],[]
M2 CSAMM,M903 SLAP,100,49.794,0,0,[],[],[],[],[],,,,manual,0600.0,0.0014400,10,1210,1215,0,-0.00036000,1,350,,0,0,51.00,272.00,850.00,0,0,0,210,1.5,0,1,1,1,0,[],47.836,41.420,34.597,28.898,24.138,16.840,11.749,8.197,rhs_m2_abrams_gunner,rhs_mag_100rnd_127x99_slap_mag,2.80992,[],[]
M2 CSAMM,M903 SLAP,100,49.794,0,0,[],[],[],[],[],,,,manual,0600.0,0.0014400,10,1210,1215,0,-0.00036000,1,350,,0,0,51.00,272.00,850.00,0,0,0,210,1.5,0,1,1,1,0,[],47.836,41.420,34.597,28.898,24.138,16.840,11.749,8.197,rhs_m2_abrams_gunner,rhs_mag_100rnd_127x99_slap_mag_tracer_red,2.80992,[],[]
M2 CSAMM,M903 SLAP,100,49.794,0,0,[],[],[],[],[],,,,manual,0600.0,0.0014400,10,1210,1215,0,-0.00036000,1,350,,0,0,51.00,272.00,850.00,0,0,0,210,1.5,0,1,1,1,0,[],47.836,41.420,34.597,28.898,24.138,16.840,11.749,8.197,rhs_m2_abrams_gunner,rhs_mag_100rnd_127x99_slap_mag_tracer_green,2.80992,[],[]
M2 CSAMM,M903 SLAP,100,49.794,0,0,[],[],[],[],[],,,,manual,0600.0,0.0014400,10,1210,1215,0,-0.00036000,1,350,,0,0,51.00,272.00,850.00,0,0,0,210,1.5,0,1,1,1,0,[],47.836,41.420,34.597,28.898,24.138,16.840,11.749,8.197,rhs_m2_abrams_gunner,rhs_mag_100rnd_127x99_slap_mag_tracer_yellow,2.80992,[],[]
M2 CSAMM,M2 Ball,200,30.000,0,0,[],[],[],[],[],,,,manual,0600.0,0.0014400,10,880,880,0,-0.00086000,1,350,,0,0,31.00,165.33,516.67,0,0,0,210,1.5,0,1,1,1,0,[],27.528,19.515,12.695,8.258,5.372,2.273,0.962,0.407,rhs_m2_abrams_gunner,rhs_mag_200rnd_127x99_mag,2.34848,[],[]
M2 CSAMM,M2 Ball,200,30.000,0,0,[],[],[],[],[],,,,manual,0600.0,0.0014400,10,880,880,0,-0.00086000,1,350,,0,0,31.00,165.33,516.67,0,0,0,210,1.5,0,1,1,1,0,[],27.528,19.515,12.695,8.258,5.372,2.273,0.962,0.407,rhs_m2_abrams_gunner,rhs_mag_200rnd_127x99_mag_tracer_red,2.34848,[],[]
