Name,Cartridge,Capacity,Damage,Warhead,Fire Modes,RPM,Dispersion,Time To Live,Initial Speed,Typical Speed,weaponInitialSpeed,Air Resistance,RHA Penetration,Concrete Penetration,Meat Penetration,Damage at 100m,Damage at 200m,Damage at 300m,Damage at 400m,Damage at 500m,Damage at 1000m,Damage at 1500m,Damage at 2000m,Weapon Class,Magazine Class,Weapon Mass,Magazine Mass,Mass per Ammo,Caliber
HK G36KV,5.56mm EPR,30,8.625,,single|burst2rnd|fullauto,0750.0,0.0005556,6,920,960,0,-0.00077200,08.97,47.84,149.50,7.652,7.083,6.557,6.070,5.619,3.819,2.596,1.765,rhs_weap_g36kv,rhssaf_30rnd_556x45_epr_g36,74.14,5.95,0.198,0.65
HK G36KV,5.56mm SOST,30,9.148,,single|burst2rnd|fullauto,0750.0,0.0005556,6,910,950,0,-0.00076000,08.74,46.59,145.60,8.121,7.527,6.976,6.466,5.992,4.098,2.802,1.917,rhs_weap_g36kv,rhssaf_30rnd_556x45_sost_g36,74.14,5.95,0.198,0.64
HK G36KV,5.56mm Drum,100,8.625,,single|burst2rnd|fullauto,0750.0,0.0005556,6,920,960,0,-0.00077200,08.97,47.84,149.50,7.652,7.083,6.557,6.070,5.619,3.819,2.596,1.765,rhs_weap_g36kv,rhssaf_100rnd_556x45_epr_g36,74.14,35.24,0.352,0.65
HK G36KV,5.56mm SPR,30,10.054,,single|burst2rnd|fullauto,0750.0,0.0005556,6,818.2,838.2,0,-0.00066000,08.31,44.31,138.48,9.188,8.601,8.051,7.537,7.056,5.073,3.647,2.622,rhs_weap_g36kv,rhssaf_30rnd_556x45_spr_g36,74.14,5.95,0.198,0.677
HK G36KV,5.56mm Tracer,30,8.726,,single|burst2rnd|fullauto,0750.0,0.0005556,6,920,948.842,0,-0.00076000,06.07,32.38,101.20,7.842,7.268,6.736,6.243,5.786,3.957,2.706,1.851,rhs_weap_g36kv,rhssaf_30rnd_556x45_tracers_g36,74.14,5.95,0.198,0.44
HK G36KV,5.56mm Tracer,30,9.000,,single|burst2rnd|fullauto,0750.0,0.0005556,6,920,920,0,-0.00120000,12.00,64.00,200.00,7.982,7.080,6.279,5.569,4.939,2.711,1.488,0.816,rhs_weap_g36kv,rhssaf_30rnd_556x45_mdim_g36,74.14,5.95,0.198,0.869565
HK G36KV,5.56mm Tracer,30,9.000,,single|burst2rnd|fullauto,0750.0,0.0005556,6,920,920,0,-0.00120000,12.00,64.00,200.00,7.982,7.080,6.279,5.569,4.939,2.711,1.488,0.816,rhs_weap_g36kv,rhssaf_30rnd_556x45_tdim_g36,74.14,5.95,0.198,0.869565
HK G36KV,B_556x45_Ball_Tracer_Red,150,9.000,,single|burst2rnd|fullauto,0750.0,0.0005556,6,930,920,0,-0.00120000,12.13,64.70,202.17,8.069,7.157,6.347,5.630,4.993,2.740,1.504,0.825,rhs_weap_g36kv,150rnd_556x45_drum_mag_f,74.14,30,0.2,0.869565
HK G36KV,Tracer,150,9.000,,single|burst2rnd|fullauto,0750.0,0.0005556,6,930,920,0,-0.00120000,12.13,64.70,202.17,8.069,7.157,6.347,5.630,4.993,2.740,1.504,0.825,rhs_weap_g36kv,150rnd_556x45_drum_mag_tracer_f,74.14,30,0.2,0.869565
HK G36KV,M855A1,30,8.531,,single|burst2rnd|fullauto,0750.0,0.0005556,6,910,960,0,-0.00077200,08.87,47.32,147.88,7.486,6.930,6.415,5.938,5.497,3.737,2.540,1.727,rhs_weap_g36kv,rhsgref_30rnd_556x45_vhs2,74.14,7.7,0.257,0.65
HK G36KV,Tracers,30,8.531,,single|burst2rnd|fullauto,0750.0,0.0005556,6,910,960,0,-0.00077200,08.87,47.32,147.88,7.486,6.930,6.415,5.938,5.497,3.737,2.540,1.727,rhs_weap_g36kv,rhsgref_30rnd_556x45_vhs2_t,74.14,7.7,0.257,0.65
HK416 D14.5,M855A1 EPR,30,8.460,,single|fullauto,0800.0,0.0005818,6,902.4,960,-0.94,-0.00077200,08.80,46.92,146.64,7.362,6.815,6.308,5.840,5.406,3.675,2.498,1.698,rhs_weap_hk416d145,rhs_mag_30rnd_556x45_m855a1_stanag,77,9.35,0.312,0.65
HK416 D14.5,M856A1 Tracer,30,8.460,,single|fullauto,0800.0,0.0005818,6,902.4,960,-0.94,-0.00077200,08.80,46.92,146.64,7.362,6.815,6.308,5.840,5.406,3.675,2.498,1.698,rhs_weap_hk416d145,rhs_mag_30rnd_556x45_m855a1_stanag_tracer_red,77,9.35,0.312,0.65
