Name,Cartridge,Capacity,Damage,Fire Modes,RPM,Dispersion,Time To Live,Initial Speed,Typical Speed,weaponInitialSpeed,Air Resistance,RHA Penetration,Concrete Penetration,Meat Penetration,Damage at 100m,Damage at 200m,Damage at 300m,Damage at 400m,Damage at 500m,Damage at 1000m,Damage at 1500m,Damage at 2000m,Weapon Class,Magazine Class,Weapon Mass,Magazine Mass,Mass per Ammo,Caliber
HK G36KV,5.56mm EPR,30,8.625,single|burst2rnd|fullauto,0750.0,0.0005556,6,920,960,0,0.00077200,08.97,47.84,149.50,7.652,7.083,6.557,6.070,5.619,3.819,2.596,1.765,rhs_weap_g36kv,rhssaf_30rnd_556x45_epr_g36,74.14,5.95,0.198,0.65
HK416 D14.5,Mk318,30,8.980,single|fullauto,0800.0,0.0005818,6,893.34404,950,-0.94,0.00076000,08.58,45.74,142.94,7.827,7.254,6.723,6.231,5.775,3.949,2.701,1.847,rhs_weap_hk416d145,rhs_mag_30rnd_556x45_mk318_stanag,77,9.35,0.312,0.64
Karabiner 98 Kurz,rhs_ammo_792x57_Ball,5,11.550,single,0037.5,0.0004364,6,869,838,0,0.00068140,05.87,31.28,97.76,11.188,10.451,9.763,9.120,8.519,6.059,4.310,3.065,rhs_weap_kar98k,rhsgref_5rnd_792x57_kar98k,81.4,2.97,0.594,0.45
L1A1 (Polymer),M80 Ball,20,11.550,single,0675.0,0.0011636,6,844,838,0,0.00068140,05.70,30.38,94.95,10.866,10.151,9.482,8.857,8.274,5.885,4.186,2.977,rhs_weap_l1a1_base,rhs_mag_20rnd_762x51_m80_fnfal,95,16.5,0.825,0.45
M107,M33 Ball,10,25.308,single,0600.0,0.0004363,10,853,838.2,0,0.00061700,13.12,69.97,218.65,24.213,22.765,21.402,20.122,18.918,13.896,10.207,7.498,rhs_weap_m107,rhsusf_mag_10rnd_std_50bmg_m33,283.8,41.14,4.114,1.02533
M107,Mk 211 HEIAP,10,24.808,single,0600.0,0.0004363,10,853,838.2,0,0.00061700,26.33,140.41,438.79,24.165,23.313,22.512,21.758,21.050,18.097,15.927,14.333,rhs_weap_m107,rhsusf_mag_10rnd_std_50bmg_mk211,283.8,41.14,4.114,2.05761
M14 EBR-RI,M118 Ball,20,11.550,single,0725.0,0.0002909,6,805,805,0,0.00074740,06.28,33.49,104.65,10.718,9.946,9.230,8.565,7.949,5.470,3.764,2.591,rhs_weap_m14ebrri,rhsusf_20rnd_762x51_m118_special_mag,112.2,16.24,0.812,0.52
M16A4,M855,30,9.000,single|burst,0800.0,0.0008727,6,948.842,948.842,-1,0.00076000,06.26,33.40,104.37,8.341,7.731,7.165,6.641,6.155,4.209,2.878,1.968,rhs_weap_m16a4,rhs_mag_30rnd_556x45_m855_stanag,74.8,9.35,0.312,0.44
M1 Garand,M2 Ball,8,12.634,single,0600.0,0.0004500,6,770,838,0,0.00068140,05.20,27.72,86.62,10.844,10.130,9.463,8.839,8.257,5.873,4.177,2.971,rhs_weap_m1garand_sa43,rhsgref_8rnd_762x63_m2b_m1rifle,94.8,5.28,0.66,0.45
M21A,M855,30,8.774,single|fullauto,0600.0,0.0021000,6,925,948.842,0,0.00076000,06.10,32.56,101.75,7.927,7.347,6.810,6.311,5.849,4.000,2.736,1.871,rhs_weap_m21a,rhsgref_30rnd_556x45_m21,91.3,10.35,0.345,0.44
M240G,M80 Ball,100,11.550,manual,0750.0,0.0008000,6,838,838,0,0.00068140,05.66,30.17,94.28,10.789,10.079,9.415,8.794,8.215,5.843,4.156,2.956,rhs_weap_m240g,rhsusf_100rnd_762x51,255.2,32.34,0.323,0.45
M249 PIP,M855A1 EPR,200,9.000,fullauto,0800.0,0.0010100,6,960,960,-1,0.00077200,09.36,49.92,156.00,8.331,7.712,7.139,6.609,6.118,4.159,2.827,1.922,rhs_weap_m249_pip,rhs_200rnd_556x45_b_saw,148.5,51.65,0.258,0.65
M249,M855A1 EPR,200,9.000,fullauto,0800.0,0.0010100,6,960,960,-1,0.00077200,09.36,49.92,156.00,8.331,7.712,7.139,6.609,6.118,4.159,2.827,1.922,rhs_weap_m249,rhs_200rnd_556x45_b_saw,131.67,51.65,0.258,0.65
M24 SWS,M993 AP,5,11.550,single,0037.5,0.0002909,6,910,910,0,0.00068140,19.27,102.78,321.18,10.789,10.079,9.415,8.794,8.215,5.843,4.156,2.956,rhs_weap_m24sws,rhsusf_5rnd_762x51_m993_mag,120.78,2.64,0.528,1.41176
M27 IAR,Mk318,30,9.267,single|fullauto,0800.0,0.0005818,6,921.85502,950,-0.97,0.00076000,08.85,47.20,147.50,8.334,7.724,7.159,6.635,6.150,4.205,2.876,1.967,rhs_weap_m27iar,rhs_mag_30rnd_556x45_mk318_stanag,79.2,9.35,0.312,0.64
M3A1 (SD),rhs_ammo_45ACP_MHP,30,5.147,fullauto,0400.0,0.0029090,6,280,280,280,0.00180000,11.26,60.05,187.67,4.299,3.591,2.999,2.505,2.093,0.851,0.346,0.141,rhs_weap_m3a1_specops,rhsgref_30rnd_1143x23_m1911b_smg,79.4,17.47,0.582,2.68097
M40A5,M993 AP,10,11.550,single,0037.5,0.0002909,6,910,910,0,0.00068140,19.27,102.78,321.18,10.789,10.079,9.415,8.794,8.215,5.843,4.156,2.956,rhs_weap_m40a5,rhsusf_10rnd_762x51_m993_mag,165,5.28,0.528,1.41176
M4A1 Block II,Mk262,30,9.682,single|fullauto,0800.0,0.0005236,6,787.908,838.2,-0.94,0.00066000,08.00,42.67,133.35,8.520,7.976,7.466,6.989,6.543,4.704,3.382,2.431,rhs_weap_m4a1_blockii,rhs_mag_30rnd_556x45_mk262_stanag,67.78,9.35,0.312,0.677
M4A1 PIP,M855,30,8.460,single|fullauto,0800.0,0.0009309,6,891.91148,948.842,-0.94,0.00076000,05.89,31.40,98.11,7.370,6.831,6.331,5.868,5.438,3.719,2.543,1.739,rhs_weap_m4a1,rhs_mag_30rnd_556x45_m855_stanag,63.8,9.35,0.312,0.44
M590A1 (Short),Buckshot,5,42.750,single,0100.0,0.95,6,282.24,403.86,0,0.00634000,01.02,05.42,16.93,15.981,7.181,3.227,1.450,0.651,0.012,0.000,0.000,rhs_weap_m590_5rd,rhsusf_5rnd_00buck,71.72,5.5,1.1,0.24
M590A1 (Short),Slug,5,28.668,single,0100.0,0.0002000,6,395,475.49,0,0.00204200,01.81,09.63,30.10,19.417,15.830,12.906,10.523,8.579,3.090,1.113,0.401,rhs_weap_m590_5rd,rhsusf_5rnd_slug,71.72,5.5,1.1,0.3048
