Name,Mass,Head Armor,Head Passthrough,Head Simulation,Neck Armor,Neck Passthrough,Neck Simulation,Chest Armor,Chest Passthrough,Chest Simulation,Body Armor,Body Passthrough,Body Simulation,Diaphragm Armor,Diaphragm Passthrough,Diaphragm Simulation,Abdomen Armor,Abdomen Passthrough,Abdomen Simulation,AllowedSlots,II_GeneralMacro,ModelSides,IIType,AllowedFacewear,_GeneralMacro,DescriptionShort,Type,Access,Value
6B23 Khaki (Utility),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 Khaki (Medic),80,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 Khaki (NCO),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 Khaki (Officer),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 Khaki (Rifleman),75,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 Khaki (Sniper),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Digital (Utility),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Digital (Medic),80,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Digital (NCO),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Digital (Officer),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Digital (Rifleman),75,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Digital (Sniper),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Forest (Utility),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Forest (Rifleman),75,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Mountain (Utility),65,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
6B23 TTsKO Mountain (Medic),80,0,0,0,8,0.4,RHS_Gost_2,22,0.3,RHS_Gost_4,0,0.3,RHS_Gost_3,22,0.3,RHS_Gost_4,22,0.3,RHS_Gost_4,[],VestItem,[],701,[],Vest_Camo_Base,Armor Level 4,131072,3,2
